condition,fold,test_zone,repeat_in_fold,geometry_seed,theta_hat,theta_abs_error,test_nrmse,amplitude_rms_db,phase_rms_deg,test_squared_error,test_truth_energy,theta_lower_bound,theta_upper_bound
D1,0,Z0-south,8,3,0.5135522434887883,0.48644775651121175,0.16499673394359568,1.0507234794489468,5.916577503304522,0.0005932185078880741,0.021790339513437923,0,0
D1,0,Z0-south,9,4,1.0170777510864704,0.01707775108647036,0.022297687421044737,0.1966542066794523,0.2814375457088501,1.0833870575298577e-05,0.021790339513437923,0,0
D1,0,Z0-south,10,0,0.7383418314094276,0.26165816859057245,0.09395123811513148,0.5861802765617349,3.4825709190092944,0.00019233973460309353,0.021790339513437923,0,0
D1,0,Z0-south,11,1,0.6573297615879644,0.3426702384120356,0.12101857709440665,0.7769374598483113,4.308958453213106,0.0003191303302252938,0.021790339513437923,0,0
D1,0,Z0-south,12,2,0.8635769576157935,0.13642304238420655,0.058700886538842915,0.4086967551278265,1.824866879771774,7.508502290631536e-05,0.021790339513437923,0,0
D1,0,Z0-south,13,3,0.5165715714978107,0.48342842850218926,0.16408901408290313,1.0449146900363389,5.883475200779984,0.0005867093484541762,0.021790339513437923,0,0
D1,0,Z0-south,14,4,1.016911002691884,0.016911002691883947,0.022279975830308957,0.19658872633590116,0.279676398099197,1.0816666201713215e-05,0.021790339513437923,0,0
D1,0,Z0-south,15,0,0.7392573817917212,0.2607426182082788,0.09365217269616842,0.584285826545743,3.471983729681824,0.00019111717251154417,0.021790339513437923,0,0
D1,0,Z0-south,16,1,0.6580634173697829,0.3419365826302171,0.12078342533885095,0.775442649666835,4.30056345309356,0.00031789132791711165,0.021790339513437923,0,0
D1,0,Z0-south,17,2,0.8641832669305475,0.13581673306945252,0.05850741532915828,0.4075358863859984,1.8172523380524237,7.45908957552263e-05,0.021790339513437923,0,0
D1,0,Z0-south,18,3,0.5172763559855361,0.4827236440144639,0.1638769636101537,1.0435577668935236,5.875743703358546,0.0005851939318705858,0.021790339513437923,0,0
