group,repeat,depth_repeat,theta_hat,theta_abs_error,test_complex_nrmse,test_amplitude_rms_db,test_phase_rms_deg,theta_ci_covers_truth
SIM-E,89,4,0.5000000000000012,0.4999999999999988,0.8993033443962268,19.46714490234842,82.05558696993003,0
SIM-E,90,0,0.5000000000000036,0.49999999999999645,0.6593006757184569,16.339550168549998,68.7436709669597,0
SIM-E,91,1,1.1408114361837236,0.1408114361837236,0.6862424913444324,8.600354693704546,71.84532040037735,0
SIM-E,92,2,1.2040333802109204,0.20403338021092043,0.6918089855158042,17.481189013929324,104.71496180417343,0
SIM-E,93,3,0.5000000000000163,0.4999999999999837,0.9035807762458878,19.266601595889345,82.71034423283585,0
SIM-E,94,4,0.5000000000000036,0.49999999999999645,0.8993033443962266,19.467144902348387,82.05558696993005,0
SIM-E,95,0,0.5000000000000036,0.49999999999999645,0.6593006757184569,16.339550168549998,68.7436709669597,0
SIM-E,96,1,1.1300054085955331,0.1300054085955331,0.6847719784291516,8.621896773780318,71.64830948160554,0
SIM-E,97,2,1.2048237992036128,0.20482379920361282,0.6919194445683935,17.466470154002728,104.7465115856515,0
SIM-E,98,3,0.5000000000000064,0.49999999999999356,0.9035807762458885,19.26660159588949,82.71034423283577,0
SIM-E,99,4,0.5000000000000064,0.49999999999999356,0.8993033443962262,19.467144902348345,82.05558696993006,0
SIM-E,100,0,0.5000000000000064,0.49999999999999356,0.6593006757184567,16.33955016854995,68.74367096695974,0
SIM-E,101,1,1.137640596985881,0.13764059698588094,0.6858054447098925,8.606204447553374,71.78783744221194,0
SIM-E,102,2,1.2096387707966612,0.20963877079666116,0.6925980263910531,17.376823756188966,104.93738423047418,0
SIM-E,103,3,0.5000000000000036,0.49999999999999645,0.9035807762458888,19.26660159588953,82.71034423283575,0
SIM-E,104,4,0.5000000000000064,0.49999999999999356,0.8993033443962262,19.467144902348345,82.05558696993006,0
SIM-E,105,0,0.500000000000005,0.499999999999995,0.6593006757184567,16.339550168549973,68.74367096695973,0
SIM-E,106,1,1.1331798507205928,0.1331798507205928,0.6851984255758702,8.615095170017298,71.70651224089931,0
SIM-E,107,2,1.196960307272465,0.19696030727246505,0.6908322149481306,17.612895179252906,104.4299720868931,0
SIM-E,108,3,0.5000000000000027,0.49999999999999734,0.9035807762458888,19.26660159588954,82.71034423283575,0
SIM-E,109,4,0.5000000000000064,0.49999999999999356,0.8993033443962262,19.467144902348345,82.05558696993006,0
SIM-E,110,0,0.5000000000000027,0.49999999999999734,0.659300675718457,16.339550168550012,68.74367096695968,0
SIM-E,111,1,1.1383053064650355,0.13830530646503547,0.6858966798827143,8.604945917509339,71.79991004327499,0
SIM-E,112,2,1.1995746204368931,0.1995746204368931,0.6911908040092176,17.5642189058187,104.53586323682993,0
SIM-E,113,3,0.5000000000000163,0.4999999999999837,0.9035807762458878,19.266601595889345,82.71034423283585,0
SIM-E,114,4,0.500000000000005,0.499999999999995,0.8993033443962264,19.467144902348362,82.05558696993005,0
SIM-E,115,0,0.500000000000005,0.499999999999995,0.6593006757184567,16.339550168549973,68.74367096695973,0
SIM-E,116,1,1.1317097132037017,0.13170971320370173,0.685000360935325,8.618195828050784,71.67959166921811,0
SIM-E,117,2,1.20530707035704,0.2053070703570401,0.6919871102348603,17.45747108518805,104.76577161779252,0
SIM-E,118,3,0.5000000000000064,0.49999999999999356,0.9035807762458885,19.26660159588949,82.71034423283577,0
SIM-E,119,4,0.500000000000005,0.499999999999995,0.8993033443962264,19.467144902348362,82.05558696993005,0
SIM-E,120,0,0.500000000000005,0.499999999999995,0.6593006757184567,16.339550168549973,68.74367096695973,0
SIM-E,121,1,1.1321606439694354,0.1321606439694354,0.6850610080423373,8.617235747867504,71.68785517991742,0
SIM-E,122,2,1.21117665343488,0.21117665343488,0.6928168342269653,17.348201132329553,104.997865589973,0
SIM-E,123,3,0.5000000000000064,0.49999999999999356,0.9035807762458885,19.26660159588949,82.71034423283577,0
SIM-E,124,4,0.5000000000000027,0.49999999999999734,0.8993033443962266,19.467144902348398,82.05558696993003,0
SIM-E,125,0,0.5000000000000064,0.49999999999999356,0.6593006757184567,16.33955016854995,68.74367096695974,0
SIM-E,126,1,1.1451597114588,0.1451597114587999,0.6868493911435173,8.592962102629471,71.92371247148802,0
SIM-E,127,2,1.2027176325659545,0.20271763256595454,0.691625696463456,17.50569087324873,104.66230946606166,0
SIM-E,128,3,0.5000000000000073,0.4999999999999927,0.9035807762458885,19.266601595889473,82.71034423283578,0
SIM-E,129,4,0.5000000000000064,0.49999999999999356,0.8993033443962262,19.467144902348345,82.05558696993006,0
SIM-E,130,0,0.5000000000000064,0.49999999999999356,0.6593006757184567,16.33955016854995,68.74367096695974,0
SIM-E,131,1,1.1356942401226635,0.1356942401226635,0.685539463442252,8.609988307247475,71.75241890453933,0
SIM-E,132,2,1.196098354397575,0.19609835439757495,0.6907146108554502,17.628941793145337,104.39491809614567,0
SIM-E,133,3,0.5000000000000088,0.49999999999999123,0.9035807762458884,19.266601595889455,82.71034423283578,0
SIM-E,134,4,0.5000000000000012,0.4999999999999988,0.8993033443962268,19.46714490234842,82.05558696993003,0
SIM-E,135,0,0.5000000000000027,0.49999999999999734,0.659300675718457,16.339550168550012,68.74367096695968,0
SIM-E,136,1,1.1379177690479998,0.1379177690479998,0.6858434634533254,8.60567757982916,71.79287294557889,0
SIM-E,137,2,1.2022076597209392,0.20220765972093924,0.6915548508821497,17.515187640670373,104.64185703333357,0
SIM-E,138,3,0.5000000000000073,0.4999999999999927,0.9035807762458885,19.266601595889473,82.71034423283578,0
SIM-E,139,4,0.5000000000000027,0.49999999999999734,0.8993033443962266,19.467144902348398,82.05558696993003,0
SIM-E,140,0,0.500000000000005,0.499999999999995,0.6593006757184567,16.339550168549973,68.74367096695973,0
SIM-E,141,1,1.13682558417127,0.13682558417127,0.6856938567435251,8.607770961197671,71.77301878645534,0
SIM-E,142,2,1.2055205420013801,0.20552054200138015,0.692017031043682,17.45349605900418,104.77427197133501,0
SIM-E,143,3,0.5000000000000163,0.4999999999999837,0.9035807762458878,19.266601595889345,82.71034423283585,0
SIM-E,144,4,0.5000000000000064,0.49999999999999356,0.8993033443962262,19.467144902348345,82.05558696993006,0
SIM-E,145,0,0.5000000000000027,0.49999999999999734,0.659300675718457,16.339550168550012,68.74367096695968,0
